 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00002
  0.30     -0.00003
  0.32     -0.00004
  0.34     -0.00006
  0.36     -0.00007
  0.38     -0.00009
  0.40     -0.00011
  0.42     -0.00014
  0.44     -0.00017
  0.46     -0.00020
  0.48     -0.00023
  0.50     -0.00027
  0.52     -0.00031
  0.54     -0.00036
  0.56     -0.00040
  0.58     -0.00046
  0.60     -0.00052
  0.62     -0.00060
  0.64     -0.00069
  0.66     -0.00082
  0.68     -0.00099
  0.70     -0.00121
  0.72     -0.00148
  0.74     -0.00182
  0.76     -0.00222
  0.78     -0.00265
  0.80     -0.00313
  0.82     -0.00363
  0.84     -0.00416
  0.86     -0.00469
  0.88     -0.00524
  0.90     -0.00579
  0.92     -0.00634
  0.94     -0.00689
  0.96     -0.00744
  0.98     -0.00799
  1.00     -0.00855
  1.02     -0.00910
  1.04     -0.00966
  1.06     -0.01021
  1.08     -0.01077
  1.10     -0.01133
  1.12     -0.01188
  1.14     -0.01244
  1.16     -0.01299
  1.18     -0.01355
  1.20     -0.01411
  1.22     -0.01467
  1.24     -0.01522
  1.26     -0.01578
  1.28     -0.01634
  1.30     -0.01690
  1.32     -0.01746
  1.34     -0.01802
  1.36     -0.01858
  1.38     -0.01914
  1.40     -0.01970
  1.42     -0.02026
  1.44     -0.02082
  1.46     -0.02139
  1.48     -0.02195
  1.50     -0.02252
  1.52     -0.02308
  1.54     -0.02365
  1.56     -0.02422
  1.58     -0.02479
  1.60     -0.02536
  1.62     -0.02593
  1.64     -0.02650
  1.66     -0.02708
  1.68     -0.02766
  1.70     -0.02824
  1.72     -0.02883
  1.74     -0.02942
  1.76     -0.03002
  1.78     -0.03063
  1.80     -0.03125
  1.82     -0.03187
  1.84     -0.03252
  1.86     -0.03317
  1.88     -0.03383
  1.90     -0.03451
  1.92     -0.03520
  1.94     -0.03590
  1.96     -0.03662
  1.98     -0.03734
  2.00     -0.03807
  2.02     -0.03880
  2.04     -0.03948
  2.06     -0.04016
  2.08     -0.04091
  2.10     -0.04134
  2.12     -0.04111
  2.14     -0.04125
  2.16     -0.04115
  2.18     -0.04039
  2.20     -0.03885
  2.22     -0.03769
  2.24     -0.03526
  2.26     -0.03239
  2.28     -0.02974
  2.30     -0.02732
  2.32     -0.02562
  2.34     -0.02494
  2.36     -0.02475
  2.38     -0.02393
  2.40     -0.02482
  2.42     -0.02446
