 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00001
  0.20     -0.00001
  0.22     -0.00002
  0.24     -0.00003
  0.26     -0.00005
  0.28     -0.00008
  0.30     -0.00011
  0.32     -0.00016
  0.34     -0.00023
  0.36     -0.00031
  0.38     -0.00040
  0.40     -0.00052
  0.42     -0.00067
  0.44     -0.00083
  0.46     -0.00102
  0.48     -0.00123
  0.50     -0.00146
  0.52     -0.00170
  0.54     -0.00197
  0.56     -0.00224
  0.58     -0.00253
  0.60     -0.00284
  0.62     -0.00315
  0.64     -0.00348
  0.66     -0.00382
  0.68     -0.00417
  0.70     -0.00454
  0.72     -0.00491
  0.74     -0.00531
  0.76     -0.00572
  0.78     -0.00615
  0.80     -0.00659
  0.82     -0.00703
  0.84     -0.00748
  0.86     -0.00794
  0.88     -0.00841
  0.90     -0.00888
  0.92     -0.00935
  0.94     -0.00983
  0.96     -0.01031
  0.98     -0.01079
  1.00     -0.01128
  1.02     -0.01176
  1.04     -0.01225
  1.06     -0.01274
  1.08     -0.01323
  1.10     -0.01372
  1.12     -0.01421
  1.14     -0.01470
  1.16     -0.01520
  1.18     -0.01569
  1.20     -0.01618
  1.22     -0.01668
  1.24     -0.01718
  1.26     -0.01768
  1.28     -0.01818
  1.30     -0.01868
  1.32     -0.01918
  1.34     -0.01969
  1.36     -0.02020
  1.38     -0.02071
  1.40     -0.02123
  1.42     -0.02175
  1.44     -0.02228
  1.46     -0.02282
  1.48     -0.02335
  1.50     -0.02390
  1.52     -0.02445
  1.54     -0.02501
  1.56     -0.02557
  1.58     -0.02614
  1.60     -0.02671
  1.62     -0.02729
  1.64     -0.02788
  1.66     -0.02846
  1.68     -0.02905
  1.70     -0.02965
  1.72     -0.03024
  1.74     -0.03084
  1.76     -0.03145
  1.78     -0.03205
  1.80     -0.03266
  1.82     -0.03328
  1.84     -0.03390
  1.86     -0.03452
  1.88     -0.03516
  1.90     -0.03579
  1.92     -0.03643
  1.94     -0.03708
  1.96     -0.03774
  1.98     -0.03841
  2.00     -0.03908
  2.02     -0.03929
  2.04     -0.03997
  2.06     -0.04067
  2.08     -0.04121
  2.10     -0.04143
  2.12     -0.04120
  2.14     -0.03896
  2.16     -0.03481
  2.18     -0.02900
  2.20     -0.02111
  2.22     -0.01205
  2.24      0.00083
  2.26      0.01588
  2.28      0.03252
  2.30      0.05195
  2.32      0.07587
  2.34      0.09552
  2.36      0.11664
  2.38      0.13866
  2.40      0.15594
  2.42      0.16288
  2.44      0.16757
