 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76     -0.00036
  0.78     -0.00072
  0.80     -0.00108
  0.82     -0.00144
  0.84     -0.00180
  0.86     -0.00216
  0.88     -0.00251
  0.90     -0.00287
  0.92     -0.00323
  0.94     -0.00359
  0.96     -0.00395
  0.98     -0.00431
  1.00     -0.00467
  1.02     -0.00503
  1.04     -0.00539
  1.06     -0.00575
  1.08     -0.00611
  1.10     -0.00647
  1.12     -0.00682
  1.14     -0.00718
  1.16     -0.00754
  1.18     -0.00798
  1.20     -0.00857
  1.22     -0.00915
  1.24     -0.00974
  1.26     -0.01033
  1.28     -0.01091
  1.30     -0.01150
  1.32     -0.01209
  1.34     -0.01267
  1.36     -0.01326
  1.38     -0.01384
  1.40     -0.01443
  1.42     -0.01502
  1.44     -0.01560
  1.46     -0.01619
  1.48     -0.01678
  1.50     -0.01736
  1.52     -0.01795
  1.54     -0.01854
  1.56     -0.01912
  1.58     -0.01971
  1.60     -0.02030
  1.62     -0.02088
  1.64     -0.02147
  1.66     -0.02205
  1.68     -0.02264
  1.70     -0.02323
  1.72     -0.02381
  1.74     -0.02440
  1.76     -0.02499
  1.78     -0.02557
  1.80     -0.02616
  1.82     -0.02675
  1.84     -0.02733
  1.86     -0.02792
  1.88     -0.02851
  1.90     -0.02909
  1.92     -0.02968
  1.94     -0.03027
  1.96     -0.03085
  1.98     -0.03144
  2.00     -0.03202
  2.02     -0.03261
  2.04     -0.03320
  2.06     -0.03378
  2.08     -0.03437
  2.10     -0.03496
  2.12     -0.03554
  2.14     -0.03613
  2.16     -0.03672
  2.18     -0.03730
  2.20     -0.03789
  2.22     -0.03848
  2.24     -0.03906
  2.26     -0.03965
  2.28     -0.04024
  2.30     -0.04082
  2.32     -0.04141
  2.34     -0.04199
  2.36     -0.04258
  2.38     -0.04317
  2.40     -0.04375
  2.42     -0.04434
  2.44     -0.04493
  2.46     -0.04551
  2.48     -0.04610
