  #r(A)    Histogram   Baseline       PDF
  0.020     0.00000     0.00000     0.00000
  0.040     0.00000     0.00000     0.00000
  0.060     0.00000     0.00000     0.00000
  0.080     0.00000     0.00000     0.00000
  0.100     0.00000     0.00000     0.00000
  0.120     0.00000     0.00000     0.00000
  0.140     0.00000     0.00000     0.00000
  0.160     0.00000     0.00000     0.00000
  0.180     0.00000     0.00000     0.00000
  0.200     0.00000     0.00000     0.00000
  0.220     0.00000     0.00000     0.00000
  0.240     0.00000     0.00000     0.00000
  0.260     0.00000     0.00000     0.00000
  0.280     0.00000     0.00000     0.00000
  0.300     0.00000     0.00000     0.00000
  0.320     0.00000     0.00000     0.00000
  0.340     0.00000     0.00000     0.00000
  0.360     0.00000     0.00000     0.00000
  0.380     0.00000     0.00000     0.00000
  0.400     0.00000     0.00000     0.00000
  0.420     0.00000     0.00000     0.00000
  0.440     0.00000     0.00000     0.00000
  0.460     0.00000     0.00000     0.00000
  0.480     0.00000     0.00000     0.00000
  0.500     0.00000     0.00000     0.00000
  0.520     0.00000     0.00000     0.00000
  0.540     0.00000     0.00000     0.00000
  0.560     0.00000     0.00000     0.00000
  0.580     0.00000     0.00000     0.00000
  0.600     0.00000     0.00000     0.00000
  0.620     0.00000     0.00000     0.00000
  0.640     0.00000     0.00000     0.00000
  0.660     0.00000     0.00000     0.00000
  0.680     0.00000     0.00000     0.00000
  0.700     0.00000     0.00000     0.00000
  0.720     0.00000     0.00000     0.00000
  0.740     0.00000     0.00000     0.00000
  0.760     0.00000     0.00000     0.00000
  0.780     0.00000     0.00024    -0.00043
  0.800     0.00000     0.00049    -0.00086
  0.820     0.00000     0.00073    -0.00129
  0.840     0.00000     0.00098    -0.00172
  0.860     0.00000     0.00122    -0.00214
  0.880     0.00000     0.00147    -0.00257
  0.900     0.00000     0.00171    -0.00300
  0.920     0.00000     0.00196    -0.00343
  0.940     0.00000     0.00220    -0.00386
  0.960     0.00000     0.00244    -0.00429
  0.980     0.00000     0.00269    -0.00472
  1.000     0.00000     0.00293    -0.00515
  1.020     0.00000     0.00318    -0.00557
  1.040     0.00000     0.00342    -0.00600
  1.060     0.00000     0.00367    -0.00643
  1.080     0.00000     0.00391    -0.00686
  1.100     0.00000     0.00416    -0.00729
  1.120     0.00000     0.00440    -0.00772
  1.140     0.00000     0.00464    -0.00815
  1.160     0.00000     0.00489    -0.00858
  1.180     0.00000     0.00513    -0.00901
  1.200     0.00000     0.00538    -0.00943
  1.220     0.00000     0.00562    -0.00986
  1.240     0.00000     0.00587    -0.01029
  1.260     0.00000     0.00611    -0.01072
  1.280     0.00000     0.00636    -0.01115
  1.300     0.00000     0.00660    -0.01158
  1.320     0.00000     0.00685    -0.01201
  1.340     0.00000     0.00709    -0.01244
  1.360     0.00000     0.00733    -0.01286
  1.380     0.00000     0.00758    -0.01329
  1.400     0.00000     0.00782    -0.01372
  1.420     0.00000     0.00807    -0.01415
  1.440     0.00000     0.00831    -0.01458
  1.460     0.00000     0.00856    -0.01501
  1.480     0.00000     0.00880    -0.01544
  1.500     0.00000     0.00905    -0.01587
  1.520     0.00000     0.00929    -0.01630
  1.540     0.00000     0.00953    -0.01672
  1.560     0.00000     0.00978    -0.01715
  1.580     0.00000     0.01002    -0.01758
