 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000      0.00000
  0.48      0.00000      0.00000      0.00000
  0.50      0.00000      0.00000      0.00000
  0.52      0.00000      0.00000      0.00000
  0.54      0.00000      0.00000      0.00000
  0.56      0.00000      0.00000      0.00000
  0.58      0.00000      0.00008     -0.00008
  0.60      0.00000      0.00028     -0.00028
  0.62      0.00000      0.00068     -0.00068
  0.64      0.00000      0.00139     -0.00139
  0.66      0.00000      0.00244     -0.00244
  0.68      0.00000      0.00376     -0.00376
  0.70      0.00000      0.00536     -0.00536
  0.72      0.00000      0.00718     -0.00718
  0.74      0.00000      0.00926     -0.00926
  0.76      0.00000      0.01146     -0.01146
  0.78      0.00000      0.01384     -0.01384
  0.80      0.00000      0.01629     -0.01629
  0.82      0.00000      0.01890     -0.01890
  0.84      0.00000      0.02159     -0.02159
  0.86      0.00000      0.02449     -0.02449
  0.88      0.00000      0.02742     -0.02742
  0.90      0.00000      0.03039     -0.03039
  0.92      0.00000      0.03336     -0.03336
  0.94      0.00000      0.03634     -0.03634
  0.96      0.00000      0.03933     -0.03933
  0.98      0.00000      0.04231     -0.04231
  1.00      0.00000      0.04530     -0.04530
  1.02      0.00000      0.04829     -0.04829
  1.04      0.00000      0.05127     -0.05127
  1.06      0.00000      0.05426     -0.05426
  1.08      0.00000      0.05724     -0.05724
  1.10      0.00000      0.06023     -0.06023
  1.12      0.00000      0.06321     -0.06321
  1.14      0.00000      0.06620     -0.06620
  1.16      0.00000      0.06918     -0.06918
  1.18      0.00000      0.07217     -0.07217
  1.20      0.00000      0.07515     -0.07515
  1.22      0.00000      0.07814     -0.07814
  1.24      0.00000      0.08113     -0.08113
  1.26      0.00000      0.08411     -0.08411
  1.28      0.00000      0.08710     -0.08710
  1.30      0.00000      0.09008     -0.09008
  1.32      0.00000      0.09307     -0.09307
  1.34      0.00000      0.09605     -0.09605
  1.36      0.00000      0.09904     -0.09904
  1.38      0.00000      0.10202     -0.10202
  1.40      0.00000      0.10501     -0.10501
  1.42      0.00000      0.10800     -0.10800
  1.44      0.00000      0.11098     -0.11098
  1.46      0.00000      0.11397     -0.11397
  1.48      0.00000      0.11695     -0.11695
  1.50      0.00000      0.11994     -0.11994
  1.52      0.00000      0.12292     -0.12292
  1.54      0.00000      0.12591     -0.12591
  1.56      0.00000      0.12889     -0.12889
  1.58      0.00000      0.13188     -0.13188
  1.60      0.00000      0.13486     -0.13486
  1.62      0.00000      0.13786     -0.13786
  1.64      0.00000      0.14086     -0.14086
  1.66      0.00000      0.14389     -0.14389
  1.68      0.00000      0.14695     -0.14695
  1.70      0.00000      0.15008     -0.15008
  1.72      0.00000      0.15325     -0.15325
  1.74      0.00000      0.15653     -0.15653
  1.76      0.00000      0.15989     -0.15989
  1.78      0.00000      0.16331     -0.16331
  1.80      0.00000      0.16678     -0.16678
  1.82      0.00000      0.17038     -0.17038
  1.84      0.00000      0.17403     -0.17403
  1.86      0.00000      0.17773     -0.17773
  1.88      0.00000      0.18152     -0.18152
  1.90      0.00000      0.18533     -0.18533
  1.92      0.00000      0.18914     -0.18914
  1.94      0.00000      0.19295     -0.19295
  1.96      0.00000      0.19677     -0.19677
  1.98      0.00000      0.20062     -0.20062
  2.00      0.00000      0.20447     -0.20447
  2.02      0.00000      0.20832     -0.20832
  2.04      0.00000      0.21217     -0.21217
  2.06      0.00000      0.21605     -0.21605
  2.08      0.00000      0.21992     -0.21992
  2.10      0.00000      0.22381     -0.22381
  2.12      0.00000      0.22770     -0.22770
  2.14      0.00000      0.23159     -0.23159
  2.16      0.00000      0.23548     -0.23548
  2.18      0.00000      0.23937     -0.23937
  2.20      0.00000      0.24326     -0.24326
  2.22      0.00000      0.24715     -0.24715
  2.24      0.00000      0.25104     -0.25104
  2.26      0.00000      0.25493     -0.25493
  2.28      0.00000      0.25882     -0.25882
  2.30      0.00000      0.26271     -0.26271
