 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000      0.00000
  0.48      0.00000      0.00000      0.00000
  0.50      0.00000      0.00000      0.00000
  0.52      0.00000      0.00000      0.00000
  0.54      0.00000      0.00000     -0.00000
  0.56      0.00000      0.00001     -0.00001
  0.58      0.00000      0.00003     -0.00003
  0.60      0.00000      0.00008     -0.00008
  0.62      0.00000      0.00018     -0.00018
  0.64      0.00000      0.00034     -0.00034
  0.66      0.00000      0.00057     -0.00057
  0.68      0.00000      0.00087     -0.00087
  0.70      0.00000      0.00126     -0.00126
  0.72      0.00000      0.00175     -0.00175
  0.74      0.00000      0.00235     -0.00235
  0.76      0.00000      0.00306     -0.00306
  0.78      0.00000      0.00389     -0.00389
  0.80      0.00000      0.00482     -0.00482
  0.82      0.00000      0.00581     -0.00581
  0.84      0.00000      0.00685     -0.00685
  0.86      0.00000      0.00793     -0.00793
  0.88      0.00000      0.00902     -0.00902
  0.90      0.00000      0.01012     -0.01012
  0.92      0.00000      0.01122     -0.01122
  0.94      0.00000      0.01233     -0.01233
  0.96      0.00000      0.01344     -0.01344
  0.98      0.00000      0.01454     -0.01454
  1.00      0.00000      0.01565     -0.01565
  1.02      0.00000      0.01676     -0.01676
  1.04      0.00000      0.01787     -0.01787
  1.06      0.00000      0.01897     -0.01897
  1.08      0.00000      0.02008     -0.02008
  1.10      0.00000      0.02119     -0.02119
  1.12      0.00000      0.02229     -0.02229
  1.14      0.00000      0.02340     -0.02340
  1.16      0.00000      0.02451     -0.02451
  1.18      0.00000      0.02562     -0.02562
  1.20      0.00000      0.02672     -0.02672
  1.22      0.00000      0.02783     -0.02783
  1.24      0.00000      0.02894     -0.02894
  1.26      0.00000      0.03005     -0.03005
  1.28      0.00000      0.03115     -0.03115
  1.30      0.00000      0.03226     -0.03226
  1.32      0.00000      0.03337     -0.03337
  1.34      0.00000      0.03448     -0.03448
  1.36      0.00000      0.03558     -0.03558
  1.38      0.00000      0.03669     -0.03669
  1.40      0.00000      0.03780     -0.03780
  1.42      0.00000      0.03890     -0.03890
  1.44      0.00000      0.04001     -0.04001
  1.46      0.00000      0.04112     -0.04112
  1.48      0.00000      0.04223     -0.04223
  1.50      0.00000      0.04333     -0.04333
  1.52      0.00000      0.04444     -0.04444
  1.54      0.00000      0.04555     -0.04555
  1.56      0.00000      0.04666     -0.04666
  1.58      0.00000      0.04776     -0.04776
  1.60      0.00000      0.04887     -0.04887
  1.62      0.00000      0.04998     -0.04998
  1.64      0.00000      0.05109     -0.05109
  1.66      0.00000      0.05219     -0.05219
  1.68      0.00000      0.05330     -0.05330
  1.70      0.00000      0.05441     -0.05441
  1.72      0.00000      0.05552     -0.05552
  1.74      0.00000      0.05664     -0.05664
  1.76      0.00000      0.05777     -0.05777
  1.78      0.00000      0.05893     -0.05893
  1.80      0.00000      0.06013     -0.06013
  1.82      0.00000      0.06135     -0.06135
  1.84      0.00000      0.06260     -0.06260
  1.86      0.00000      0.06388     -0.06388
  1.88      0.00000      0.06520     -0.06520
  1.90      0.00000      0.06655     -0.06655
  1.92      0.00000      0.06793     -0.06793
  1.94      0.00000      0.06935     -0.06935
  1.96      0.00000      0.07078     -0.07078
  1.98      0.00000      0.07223     -0.07223
  2.00      0.00000      0.07368     -0.07368
  2.02      0.00000      0.07515     -0.07515
  2.04      0.00000      0.07661     -0.07661
  2.06      0.00000      0.07808     -0.07808
  2.08      0.00000      0.07955     -0.07955
  2.10      0.00000      0.08102     -0.08102
  2.12      0.00000      0.08249     -0.08249
  2.14      0.00000      0.08396     -0.08396
  2.16      0.00000      0.08543     -0.08543
  2.18      0.00000      0.08690     -0.08690
  2.20      0.00000      0.08838     -0.08838
  2.22      0.00000      0.08985     -0.08985
  2.24      0.00000      0.09132     -0.09132
  2.26      0.00000      0.09279     -0.09279
  2.28      0.00000      0.09426     -0.09426
  2.30      0.00000      0.09573     -0.09573
