 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000      0.00000
  0.48      0.00000      0.00000      0.00000
  0.50      0.00000      0.00000      0.00000
  0.52      0.00000      0.00000      0.00000
  0.54      0.00000      0.00000      0.00000
  0.56      0.00000      0.00000      0.00000
  0.58      0.00000      0.00000      0.00000
  0.60      0.00000      0.00000      0.00000
  0.62      0.00000      0.00000      0.00000
  0.64      0.00000      0.00000      0.00000
  0.66      0.00000      0.00000      0.00000
  0.68      0.00000      0.00000      0.00000
  0.70      0.00000      0.00000      0.00000
  0.72      0.00000      0.00000      0.00000
  0.74      0.00000      0.00000      0.00000
  0.76      0.00000      0.00049     -0.00049
  0.78      0.00000      0.00098     -0.00098
  0.80      0.00000      0.00147     -0.00147
  0.82      0.00000      0.00196     -0.00196
  0.84      0.00000      0.00245     -0.00245
  0.86      0.00000      0.00293     -0.00293
  0.88      0.00000      0.00342     -0.00342
  0.90      0.00000      0.00391     -0.00391
  0.92      0.00000      0.00440     -0.00440
  0.94      0.00000      0.00489     -0.00489
  0.96      0.00000      0.00538     -0.00538
  0.98      0.00000      0.00587     -0.00587
  1.00      0.00000      0.00636     -0.00636
  1.02      0.00000      0.00685     -0.00685
  1.04      0.00000      0.00734     -0.00734
  1.06      0.00000      0.00783     -0.00783
  1.08      0.00000      0.00831     -0.00831
  1.10      0.00000      0.00880     -0.00880
  1.12      0.00000      0.00929     -0.00929
  1.14      0.00000      0.00978     -0.00978
  1.16      0.00000      0.01027     -0.01027
  1.18      0.00000      0.01076     -0.01076
  1.20      0.00000      0.01125     -0.01125
  1.22      0.00000      0.01174     -0.01174
  1.24      0.00000      0.01223     -0.01223
  1.26      0.00000      0.01272     -0.01272
  1.28      0.00000      0.01320     -0.01320
  1.30      0.00000      0.01369     -0.01369
  1.32      0.00000      0.01418     -0.01418
  1.34      0.00000      0.01467     -0.01467
  1.36      0.00000      0.01516     -0.01516
  1.38      0.00000      0.01565     -0.01565
  1.40      0.00000      0.01614     -0.01614
  1.42      0.00000      0.01663     -0.01663
  1.44      0.00000      0.01712     -0.01712
  1.46      0.00000      0.01761     -0.01761
  1.48      0.00000      0.01810     -0.01810
  1.50      0.00000      0.01858     -0.01858
  1.52      0.00000      0.01907     -0.01907
  1.54      0.00000      0.01956     -0.01956
  1.56      0.00000      0.02005     -0.02005
  1.58      0.00000      0.02054     -0.02054
  1.60      0.00000      0.02103     -0.02103
  1.62      0.00000      0.02152     -0.02152
  1.64      0.00000      0.02201     -0.02201
  1.66      0.00000      0.02250     -0.02250
  1.68      0.00000      0.02299     -0.02299
  1.70      0.00000      0.02348     -0.02348
  1.72      0.00000      0.02396     -0.02396
  1.74      0.00000      0.02445     -0.02445
  1.76      0.00000      0.02494     -0.02494
  1.78      0.00000      0.02543     -0.02543
  1.80      0.00000      0.02592     -0.02592
  1.82      0.00000      0.02641     -0.02641
  1.84      0.00000      0.02690     -0.02690
  1.86      0.00000      0.02739     -0.02739
  1.88      0.00000      0.02788     -0.02788
  1.90      0.00000      0.02837     -0.02837
  1.92      0.00000      0.02902     -0.02902
  1.94      0.00000      0.02967     -0.02967
  1.96      0.00000      0.03032     -0.03032
  1.98      0.00000      0.03097     -0.03097
  2.00      0.00000      0.03162     -0.03162
  2.02      0.00000      0.03227     -0.03227
  2.04      0.00000      0.03292     -0.03292
  2.06      0.00000      0.03357     -0.03357
  2.08      0.00000      0.03422     -0.03422
  2.10      0.00000      0.03487     -0.03487
  2.12      0.00000      0.03552     -0.03552
  2.14      0.00000      0.03617     -0.03617
  2.16      0.00000      0.03682     -0.03682
  2.18      0.00000      0.03747     -0.03747
  2.20      0.00000      0.03812     -0.03812
  2.22      0.00000      0.03877     -0.03877
  2.24      0.00000      0.03942     -0.03942
  2.26      0.00000      0.04007     -0.04007
  2.28      0.00000      0.04072     -0.04072
  2.30      0.00000      0.04137     -0.04137
  2.32      0.00000      0.04202     -0.04202
