 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000      0.00000
  0.48      0.00000      0.00000      0.00000
  0.50      0.00000      0.00000      0.00000
  0.52      0.00000      0.00000      0.00000
  0.54      0.00000      0.00000      0.00000
  0.56      0.00000      0.00000      0.00000
  0.58      0.00000      0.00000      0.00000
  0.60      0.00000      0.00000      0.00000
  0.62      0.00000      0.00000      0.00000
  0.64      0.00000      0.00000      0.00000
  0.66      0.00000      0.00000      0.00000
  0.68      0.00000      0.00000      0.00000
  0.70      0.00000      0.00000      0.00000
  0.72      0.00000      0.00000      0.00000
  0.74      0.00000      0.00000      0.00000
  0.76      0.00000      0.00019     -0.00019
  0.78      0.00000      0.00037     -0.00037
  0.80      0.00000      0.00056     -0.00056
  0.82      0.00000      0.00075     -0.00075
  0.84      0.00000      0.00093     -0.00093
  0.86      0.00000      0.00112     -0.00112
  0.88      0.00000      0.00130     -0.00130
  0.90      0.00000      0.00149     -0.00149
  0.92      0.00000      0.00168     -0.00168
  0.94      0.00000      0.00186     -0.00186
  0.96      0.00000      0.00205     -0.00205
  0.98      0.00000      0.00224     -0.00224
  1.00      0.00000      0.00242     -0.00242
  1.02      0.00000      0.00261     -0.00261
  1.04      0.00000      0.00279     -0.00279
  1.06      0.00000      0.00298     -0.00298
  1.08      0.00000      0.00317     -0.00317
  1.10      0.00000      0.00335     -0.00335
  1.12      0.00000      0.00354     -0.00354
  1.14      0.00000      0.00373     -0.00373
  1.16      0.00000      0.00391     -0.00391
  1.18      0.00000      0.00410     -0.00410
  1.20      0.00000      0.00428     -0.00428
  1.22      0.00000      0.00447     -0.00447
  1.24      0.00000      0.00466     -0.00466
  1.26      0.00000      0.00484     -0.00484
  1.28      0.00000      0.00503     -0.00503
  1.30      0.00000      0.00522     -0.00522
  1.32      0.00000      0.00540     -0.00540
  1.34      0.00000      0.00559     -0.00559
  1.36      0.00000      0.00577     -0.00577
  1.38      0.00000      0.00596     -0.00596
  1.40      0.00000      0.00615     -0.00615
  1.42      0.00000      0.00633     -0.00633
  1.44      0.00000      0.00652     -0.00652
  1.46      0.00000      0.00671     -0.00671
  1.48      0.00000      0.00689     -0.00689
  1.50      0.00000      0.00708     -0.00708
  1.52      0.00000      0.00726     -0.00726
  1.54      0.00000      0.00745     -0.00745
  1.56      0.00000      0.00764     -0.00764
  1.58      0.00000      0.00782     -0.00782
  1.60      0.00000      0.00801     -0.00801
  1.62      0.00000      0.00820     -0.00820
  1.64      0.00000      0.00838     -0.00838
  1.66      0.00000      0.00857     -0.00857
  1.68      0.00000      0.00875     -0.00875
  1.70      0.00000      0.00894     -0.00894
  1.72      0.00000      0.00913     -0.00913
  1.74      0.00000      0.00931     -0.00931
  1.76      0.00000      0.00950     -0.00950
  1.78      0.00000      0.00969     -0.00969
  1.80      0.00000      0.00987     -0.00987
  1.82      0.00000      0.01006     -0.01006
  1.84      0.00000      0.01024     -0.01024
  1.86      0.00000      0.01043     -0.01043
  1.88      0.00000      0.01062     -0.01062
  1.90      0.00000      0.01080     -0.01080
  1.92      0.00000      0.01105     -0.01105
  1.94      0.00000      0.01130     -0.01130
  1.96      0.00000      0.01155     -0.01155
  1.98      0.00000      0.01180     -0.01180
  2.00      0.00000      0.01205     -0.01205
  2.02      0.00000      0.01230     -0.01230
  2.04      0.00000      0.01255     -0.01255
  2.06      0.00000      0.01280     -0.01280
  2.08      0.00000      0.01305     -0.01305
  2.10      0.00000      0.01330     -0.01330
  2.12      0.00000      0.01355     -0.01355
  2.14      0.00000      0.01380     -0.01380
  2.16      0.00000      0.01405     -0.01405
  2.18      0.00000      0.01430     -0.01430
  2.20      0.00000      0.01455     -0.01455
  2.22      0.00000      0.01480     -0.01480
  2.24      0.00000      0.01505     -0.01505
  2.26      0.00000      0.01530     -0.01530
  2.28      0.00000      0.01555     -0.01555
  2.30      0.00000      0.01580     -0.01580
  2.32      0.00000      0.01605     -0.01519
