 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000      0.00000
  0.48      0.00000      0.00000      0.00000
  0.50      0.00000      0.00000     -0.00000
  0.52      0.00000      0.00000     -0.00000
  0.54      0.00000      0.00000     -0.00000
  0.56      0.00000      0.00000     -0.00000
  0.58      0.00000      0.00000     -0.00000
  0.60      0.00000      0.00000     -0.00000
  0.62      0.00000      0.00001     -0.00001
  0.64      0.00000      0.00002     -0.00002
  0.66      0.00000      0.00004     -0.00004
  0.68      0.00000      0.00007     -0.00007
  0.70      0.00000      0.00012     -0.00012
  0.72      0.00000      0.00019     -0.00019
  0.74      0.00000      0.00028     -0.00028
  0.76      0.00000      0.00039     -0.00039
  0.78      0.00000      0.00053     -0.00053
  0.80      0.00000      0.00067     -0.00067
  0.82      0.00000      0.00084     -0.00084
  0.84      0.00000      0.00101     -0.00101
  0.86      0.00000      0.00119     -0.00119
  0.88      0.00000      0.00137     -0.00137
  0.90      0.00000      0.00155     -0.00155
  0.92      0.00000      0.00174     -0.00174
  0.94      0.00000      0.00193     -0.00193
  0.96      0.00000      0.00211     -0.00211
  0.98      0.00000      0.00230     -0.00230
  1.00      0.00000      0.00248     -0.00248
  1.02      0.00000      0.00267     -0.00267
  1.04      0.00000      0.00286     -0.00286
  1.06      0.00000      0.00304     -0.00304
  1.08      0.00000      0.00323     -0.00323
  1.10      0.00000      0.00342     -0.00342
  1.12      0.00000      0.00360     -0.00360
  1.14      0.00000      0.00379     -0.00379
  1.16      0.00000      0.00398     -0.00398
  1.18      0.00000      0.00416     -0.00416
  1.20      0.00000      0.00435     -0.00435
  1.22      0.00000      0.00454     -0.00454
  1.24      0.00000      0.00472     -0.00472
  1.26      0.00000      0.00491     -0.00491
  1.28      0.00000      0.00509     -0.00509
  1.30      0.00000      0.00528     -0.00528
  1.32      0.00000      0.00547     -0.00547
  1.34      0.00000      0.00565     -0.00565
  1.36      0.00000      0.00584     -0.00584
  1.38      0.00000      0.00603     -0.00603
  1.40      0.00000      0.00621     -0.00621
  1.42      0.00000      0.00640     -0.00640
  1.44      0.00000      0.00659     -0.00659
  1.46      0.00000      0.00677     -0.00677
  1.48      0.00000      0.00696     -0.00696
  1.50      0.00000      0.00715     -0.00715
  1.52      0.00000      0.00733     -0.00733
  1.54      0.00000      0.00752     -0.00752
  1.56      0.00000      0.00771     -0.00771
  1.58      0.00000      0.00789     -0.00789
  1.60      0.00000      0.00808     -0.00808
  1.62      0.00000      0.00826     -0.00826
  1.64      0.00000      0.00845     -0.00845
  1.66      0.00000      0.00864     -0.00864
  1.68      0.00000      0.00882     -0.00882
  1.70      0.00000      0.00901     -0.00901
  1.72      0.00000      0.00920     -0.00920
  1.74      0.00000      0.00939     -0.00939
  1.76      0.00000      0.00958     -0.00958
  1.78      0.00000      0.00977     -0.00977
  1.80      0.00000      0.00996     -0.00996
  1.82      0.00000      0.01016     -0.01016
  1.84      0.00000      0.01036     -0.01036
  1.86      0.00000      0.01057     -0.01057
  1.88      0.00000      0.01078     -0.01078
  1.90      0.00000      0.01100     -0.01100
  1.92      0.00000      0.01123     -0.01123
  1.94      0.00000      0.01146     -0.01146
  1.96      0.00000      0.01170     -0.01170
  1.98      0.00000      0.01194     -0.01194
  2.00      0.00000      0.01219     -0.01219
  2.02      0.00000      0.01243     -0.01243
  2.04      0.00000      0.01268     -0.01268
  2.06      0.00000      0.01293     -0.01293
  2.08      0.00000      0.01318     -0.01318
  2.10      0.00000      0.01343     -0.01343
  2.12      0.00000      0.01368     -0.01367
  2.14      0.00000      0.01393     -0.01392
  2.16      0.00000      0.01418     -0.01415
  2.18      0.00000      0.01443     -0.01435
  2.20      0.00000      0.01468     -0.01451
  2.22      0.00000      0.01493     -0.01457
  2.24      0.00000      0.01518     -0.01449
  2.26      0.00000      0.01543     -0.01420
  2.28      0.00000      0.01568     -0.01362
  2.30      0.00000      0.01593     -0.01266
