 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00001     -0.00001
  0.28      0.00000      0.00001     -0.00001
  0.30      0.00000      0.00002     -0.00002
  0.32      0.00000      0.00003     -0.00003
  0.34      0.00000      0.00004     -0.00004
  0.36      0.00000      0.00006     -0.00006
  0.38      0.00000      0.00008     -0.00008
  0.40      0.00000      0.00010     -0.00010
  0.42      0.00000      0.00014     -0.00014
  0.44      0.00000      0.00018     -0.00018
  0.46      0.00000      0.00023     -0.00023
  0.48      0.00000      0.00029     -0.00029
  0.50      0.00000      0.00036     -0.00036
  0.52      0.00000      0.00044     -0.00044
  0.54      0.00000      0.00053     -0.00053
  0.56      0.00000      0.00063     -0.00063
  0.58      0.00000      0.00074     -0.00074
  0.60      0.00000      0.00087     -0.00087
  0.62      0.00000      0.00101     -0.00101
  0.64      0.00000      0.00117     -0.00117
  0.66      0.00000      0.00133     -0.00133
  0.68      0.00000      0.00151     -0.00151
  0.70      0.00000      0.00170     -0.00170
  0.72      0.00000      0.00190     -0.00190
  0.74      0.00000      0.00211     -0.00211
  0.76      0.00000      0.00232     -0.00232
  0.78      0.00000      0.00254     -0.00254
  0.80      0.00000      0.00277     -0.00277
  0.82      0.00000      0.00300     -0.00300
  0.84      0.00000      0.00323     -0.00323
  0.86      0.00000      0.00346     -0.00346
  0.88      0.00000      0.00370     -0.00370
  0.90      0.00000      0.00394     -0.00394
  0.92      0.00000      0.00418     -0.00418
  0.94      0.00000      0.00442     -0.00442
  0.96      0.00000      0.00466     -0.00466
  0.98      0.00000      0.00491     -0.00491
  1.00      0.00000      0.00515     -0.00515
  1.02      0.00000      0.00539     -0.00539
  1.04      0.00000      0.00564     -0.00564
  1.06      0.00000      0.00588     -0.00588
  1.08      0.00000      0.00613     -0.00613
  1.10      0.00000      0.00637     -0.00637
  1.12      0.00000      0.00662     -0.00662
  1.14      0.00000      0.00686     -0.00686
  1.16      0.00000      0.00711     -0.00711
  1.18      0.00000      0.00735     -0.00735
  1.20      0.00000      0.00760     -0.00760
  1.22      0.00000      0.00784     -0.00784
  1.24      0.00000      0.00809     -0.00809
  1.26      0.00000      0.00833     -0.00833
  1.28      0.00000      0.00858     -0.00858
  1.30      0.00000      0.00882     -0.00882
  1.32      0.00000      0.00907     -0.00907
  1.34      0.00000      0.00931     -0.00931
  1.36      0.00000      0.00956     -0.00956
  1.38      0.00000      0.00980     -0.00980
  1.40      0.00000      0.01005     -0.01005
  1.42      0.00000      0.01030     -0.01030
  1.44      0.00000      0.01054     -0.01054
  1.46      0.00000      0.01079     -0.01079
  1.48      0.00000      0.01104     -0.01104
  1.50      0.00000      0.01128     -0.01128
  1.52      0.00000      0.01153     -0.01153
  1.54      0.00000      0.01178     -0.01178
  1.56      0.00000      0.01203     -0.01203
  1.58      0.00000      0.01228     -0.01228
  1.60      0.00000      0.01253     -0.01253
  1.62      0.00000      0.01278     -0.01278
  1.64      0.00000      0.01303     -0.01303
  1.66      0.00000      0.01329     -0.01329
  1.68      0.00000      0.01355     -0.01355
  1.70      0.00000      0.01382     -0.01382
  1.72      0.00000      0.01408     -0.01408
  1.74      0.00000      0.01435     -0.01435
  1.76      0.00000      0.01463     -0.01463
  1.78      0.00000      0.01491     -0.01491
  1.80      0.00000      0.01520     -0.01520
  1.82      0.00000      0.01549     -0.01549
  1.84      0.00000      0.01578     -0.01578
  1.86      0.00000      0.01607     -0.01607
  1.88      0.00000      0.01637     -0.01637
  1.90      0.00000      0.01667     -0.01667
  1.92      0.00000      0.01698     -0.01698
  1.94      0.00000      0.01728     -0.01728
  1.96      0.00000      0.01759     -0.01759
  1.98      0.00000      0.01790     -0.01790
  2.00      0.00000      0.01822     -0.01822
  2.02      0.00000      0.01853     -0.01853
  2.04      0.00000      0.01884     -0.01884
  2.06      0.00000      0.01916     -0.01916
  2.08      0.00000      0.01947     -0.01947
  2.10      0.00000      0.01979     -0.01979
  2.12      0.00000      0.02011     -0.01948
  2.14      0.00000      0.02043     -0.01949
  2.16      0.00312      0.02075     -0.01889
  2.18      0.00155      0.02107     -0.01768
  2.20      0.00462      0.02139     -0.01649
  2.22      0.00762      0.02170     -0.01594
  2.24      0.00756      0.02202     -0.01361
  2.26      0.00748      0.02234     -0.01073
  2.28      0.01481      0.02266     -0.00791
