 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00005     -0.00005
  0.54      0.00000      0.00007     -0.00007
  0.56      0.00000      0.00010     -0.00010
  0.58      0.00000      0.00013     -0.00013
  0.60      0.00000      0.00018     -0.00018
  0.62      0.00000      0.00024     -0.00024
  0.64      0.00000      0.00031     -0.00031
  0.66      0.00000      0.00040     -0.00040
  0.68      0.00000      0.00050     -0.00050
  0.70      0.00000      0.00062     -0.00062
  0.72      0.00000      0.00075     -0.00075
  0.74      0.00000      0.00089     -0.00089
  0.76      0.00000      0.00105     -0.00105
  0.78      0.00000      0.00121     -0.00121
  0.80      0.00000      0.00139     -0.00139
  0.82      0.00000      0.00157     -0.00157
  0.84      0.00000      0.00175     -0.00175
  0.86      0.00000      0.00193     -0.00193
  0.88      0.00000      0.00212     -0.00212
  0.90      0.00000      0.00231     -0.00231
  0.92      0.00000      0.00251     -0.00251
  0.94      0.00000      0.00270     -0.00270
  0.96      0.00000      0.00289     -0.00289
  0.98      0.00000      0.00308     -0.00308
  1.00      0.00000      0.00328     -0.00328
  1.02      0.00000      0.00347     -0.00347
  1.04      0.00000      0.00366     -0.00366
  1.06      0.00000      0.00386     -0.00386
  1.08      0.00000      0.00405     -0.00405
  1.10      0.00000      0.00424     -0.00424
  1.12      0.00000      0.00444     -0.00444
  1.14      0.00000      0.00463     -0.00463
  1.16      0.00000      0.00482     -0.00482
  1.18      0.00000      0.00502     -0.00502
  1.20      0.00000      0.00521     -0.00521
  1.22      0.00000      0.00541     -0.00541
  1.24      0.00000      0.00560     -0.00560
  1.26      0.00000      0.00579     -0.00579
  1.28      0.00000      0.00599     -0.00599
  1.30      0.00000      0.00618     -0.00618
  1.32      0.00000      0.00637     -0.00637
  1.34      0.00000      0.00657     -0.00657
  1.36      0.00000      0.00676     -0.00676
  1.38      0.00000      0.00696     -0.00696
  1.40      0.00000      0.00715     -0.00715
  1.42      0.00000      0.00734     -0.00734
  1.44      0.00000      0.00754     -0.00754
  1.46      0.00000      0.00773     -0.00773
  1.48      0.00000      0.00793     -0.00793
  1.50      0.00000      0.00812     -0.00812
  1.52      0.00000      0.00832     -0.00832
  1.54      0.00000      0.00851     -0.00851
  1.56      0.00000      0.00871     -0.00871
  1.58      0.00000      0.00891     -0.00891
  1.60      0.00000      0.00911     -0.00911
  1.62      0.00000      0.00931     -0.00931
  1.64      0.00000      0.00951     -0.00951
  1.66      0.00000      0.00971     -0.00971
  1.68      0.00000      0.00992     -0.00992
  1.70      0.00000      0.01013     -0.01013
  1.72      0.00000      0.01034     -0.01034
  1.74      0.00000      0.01055     -0.01055
  1.76      0.00000      0.01077     -0.01077
  1.78      0.00000      0.01099     -0.01099
  1.80      0.00000      0.01122     -0.01122
  1.82      0.00000      0.01144     -0.01144
  1.84      0.00000      0.01168     -0.01168
  1.86      0.00000      0.01192     -0.01192
  1.88      0.00000      0.01216     -0.01216
  1.90      0.00000      0.01240     -0.01240
  1.92      0.00000      0.01265     -0.01265
  1.94      0.00000      0.01290     -0.01290
  1.96      0.00000      0.01315     -0.01315
  1.98      0.00000      0.01340     -0.01340
  2.00      0.00000      0.01366     -0.01366
  2.02      0.00000      0.01391     -0.01391
  2.04      0.00000      0.01417     -0.01417
  2.06      0.00000      0.01443     -0.01443
  2.08      0.00000      0.01469     -0.01469
  2.10      0.00000      0.01494     -0.01494
  2.12      0.00000      0.01520     -0.01517
  2.14      0.00000      0.01546     -0.01541
  2.16      0.00019      0.01572     -0.01561
  2.18      0.00009      0.01598     -0.01578
  2.20      0.00028      0.01624     -0.01595
  2.22      0.00046      0.01650     -0.01615
  2.24      0.00045      0.01676     -0.01625
  2.26      0.00045      0.01702     -0.01632
  2.28      0.00089      0.01728     -0.01640
