 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00000     -0.00000
  0.46      0.00000      0.00000     -0.00000
  0.48      0.00000      0.00000     -0.00000
  0.50      0.00000      0.00000     -0.00000
  0.52      0.00000      0.00001     -0.00001
  0.54      0.00000      0.00001     -0.00001
  0.56      0.00000      0.00002     -0.00002
  0.58      0.00000      0.00004     -0.00004
  0.60      0.00000      0.00006     -0.00006
  0.62      0.00000      0.00009     -0.00009
  0.64      0.00000      0.00014     -0.00014
  0.66      0.00000      0.00021     -0.00021
  0.68      0.00000      0.00029     -0.00029
  0.70      0.00000      0.00039     -0.00039
  0.72      0.00000      0.00050     -0.00050
  0.74      0.00000      0.00064     -0.00064
  0.76      0.00000      0.00079     -0.00079
  0.78      0.00000      0.00095     -0.00095
  0.80      0.00000      0.00112     -0.00112
  0.82      0.00000      0.00130     -0.00130
  0.84      0.00000      0.00149     -0.00149
  0.86      0.00000      0.00168     -0.00168
  0.88      0.00000      0.00188     -0.00188
  0.90      0.00000      0.00208     -0.00208
  0.92      0.00000      0.00228     -0.00228
  0.94      0.00000      0.00248     -0.00248
  0.96      0.00000      0.00268     -0.00268
  0.98      0.00000      0.00288     -0.00288
  1.00      0.00000      0.00309     -0.00309
  1.02      0.00000      0.00329     -0.00329
  1.04      0.00000      0.00349     -0.00349
  1.06      0.00000      0.00370     -0.00370
  1.08      0.00000      0.00390     -0.00390
  1.10      0.00000      0.00410     -0.00410
  1.12      0.00000      0.00431     -0.00431
  1.14      0.00000      0.00451     -0.00451
  1.16      0.00000      0.00471     -0.00471
  1.18      0.00000      0.00491     -0.00491
  1.20      0.00000      0.00512     -0.00512
  1.22      0.00000      0.00532     -0.00532
  1.24      0.00000      0.00552     -0.00552
  1.26      0.00000      0.00573     -0.00573
  1.28      0.00000      0.00593     -0.00593
  1.30      0.00000      0.00613     -0.00613
  1.32      0.00000      0.00634     -0.00634
  1.34      0.00000      0.00654     -0.00654
  1.36      0.00000      0.00674     -0.00674
  1.38      0.00000      0.00695     -0.00695
  1.40      0.00000      0.00715     -0.00715
  1.42      0.00000      0.00735     -0.00735
  1.44      0.00000      0.00756     -0.00756
  1.46      0.00000      0.00776     -0.00776
  1.48      0.00000      0.00796     -0.00796
  1.50      0.00000      0.00817     -0.00817
  1.52      0.00000      0.00837     -0.00837
  1.54      0.00000      0.00858     -0.00858
  1.56      0.00000      0.00878     -0.00878
  1.58      0.00000      0.00899     -0.00899
  1.60      0.00000      0.00919     -0.00919
  1.62      0.00000      0.00940     -0.00940
  1.64      0.00000      0.00961     -0.00961
  1.66      0.00000      0.00982     -0.00982
  1.68      0.00000      0.01003     -0.01003
  1.70      0.00000      0.01025     -0.01025
  1.72      0.00000      0.01046     -0.01046
  1.74      0.00000      0.01069     -0.01069
  1.76      0.00000      0.01091     -0.01091
  1.78      0.00000      0.01114     -0.01114
  1.80      0.00000      0.01137     -0.01137
  1.82      0.00000      0.01161     -0.01161
  1.84      0.00000      0.01185     -0.01185
  1.86      0.00000      0.01210     -0.01210
  1.88      0.00000      0.01235     -0.01235
  1.90      0.00000      0.01260     -0.01260
  1.92      0.00000      0.01286     -0.01286
  1.94      0.00000      0.01312     -0.01312
  1.96      0.00000      0.01339     -0.01339
  1.98      0.00000      0.01365     -0.01365
  2.00      0.00000      0.01392     -0.01392
  2.02      0.00000      0.01419     -0.01419
  2.04      0.00000      0.01446     -0.01446
  2.06      0.00000      0.01473     -0.01473
  2.08      0.00000      0.01500     -0.01500
  2.10      0.00000      0.01527     -0.01527
  2.12      0.00000      0.01555     -0.01555
  2.14      0.00000      0.01582     -0.01582
  2.16      0.00000      0.01609     -0.01609
  2.18      0.00000      0.01636     -0.01636
  2.20      0.00000      0.01663     -0.01663
  2.22      0.00000      0.01691     -0.01691
  2.24      0.00000      0.01718     -0.01718
  2.26      0.00000      0.01745     -0.01745
  2.28      0.00000      0.01773     -0.01773
  2.30      0.00000      0.01800     -0.01800
