 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00004     -0.00004
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00007     -0.00007
  0.58      0.00000      0.00009     -0.00009
  0.60      0.00000      0.00013     -0.00013
  0.62      0.00000      0.00017     -0.00017
  0.64      0.00000      0.00023     -0.00023
  0.66      0.00000      0.00030     -0.00030
  0.68      0.00000      0.00039     -0.00039
  0.70      0.00000      0.00050     -0.00050
  0.72      0.00000      0.00063     -0.00063
  0.74      0.00000      0.00077     -0.00077
  0.76      0.00000      0.00093     -0.00093
  0.78      0.00000      0.00110     -0.00110
  0.80      0.00000      0.00128     -0.00128
  0.82      0.00000      0.00146     -0.00146
  0.84      0.00000      0.00165     -0.00165
  0.86      0.00000      0.00184     -0.00184
  0.88      0.00000      0.00204     -0.00204
  0.90      0.00000      0.00223     -0.00223
  0.92      0.00000      0.00243     -0.00243
  0.94      0.00000      0.00263     -0.00263
  0.96      0.00000      0.00283     -0.00283
  0.98      0.00000      0.00302     -0.00302
  1.00      0.00000      0.00322     -0.00322
  1.02      0.00000      0.00342     -0.00342
  1.04      0.00000      0.00362     -0.00362
  1.06      0.00000      0.00382     -0.00382
  1.08      0.00000      0.00402     -0.00402
  1.10      0.00000      0.00421     -0.00421
  1.12      0.00000      0.00441     -0.00441
  1.14      0.00000      0.00461     -0.00461
  1.16      0.00000      0.00481     -0.00481
  1.18      0.00000      0.00501     -0.00501
  1.20      0.00000      0.00521     -0.00521
  1.22      0.00000      0.00540     -0.00540
  1.24      0.00000      0.00560     -0.00560
  1.26      0.00000      0.00580     -0.00580
  1.28      0.00000      0.00600     -0.00600
  1.30      0.00000      0.00620     -0.00620
  1.32      0.00000      0.00640     -0.00640
  1.34      0.00000      0.00660     -0.00660
  1.36      0.00000      0.00680     -0.00680
  1.38      0.00000      0.00699     -0.00699
  1.40      0.00000      0.00719     -0.00719
  1.42      0.00000      0.00739     -0.00739
  1.44      0.00000      0.00759     -0.00759
  1.46      0.00000      0.00779     -0.00779
  1.48      0.00000      0.00799     -0.00799
  1.50      0.00000      0.00819     -0.00819
  1.52      0.00000      0.00839     -0.00839
  1.54      0.00000      0.00859     -0.00859
  1.56      0.00000      0.00879     -0.00879
  1.58      0.00000      0.00900     -0.00900
  1.60      0.00000      0.00920     -0.00920
  1.62      0.00000      0.00940     -0.00940
  1.64      0.00000      0.00961     -0.00961
  1.66      0.00000      0.00982     -0.00982
  1.68      0.00000      0.01003     -0.01003
  1.70      0.00000      0.01024     -0.01024
  1.72      0.00000      0.01045     -0.01045
  1.74      0.00000      0.01067     -0.01067
  1.76      0.00000      0.01089     -0.01089
  1.78      0.00000      0.01112     -0.01112
  1.80      0.00000      0.01135     -0.01135
  1.82      0.00000      0.01158     -0.01158
  1.84      0.00000      0.01182     -0.01182
  1.86      0.00000      0.01206     -0.01206
  1.88      0.00000      0.01231     -0.01231
  1.90      0.00000      0.01256     -0.01256
  1.92      0.00000      0.01282     -0.01282
  1.94      0.00000      0.01307     -0.01307
  1.96      0.00000      0.01333     -0.01333
  1.98      0.00000      0.01359     -0.01359
  2.00      0.00000      0.01385     -0.01385
  2.02      0.00000      0.01411     -0.01411
  2.04      0.00000      0.01438     -0.01438
  2.06      0.00000      0.01464     -0.01464
  2.08      0.00000      0.01491     -0.01491
  2.10      0.00000      0.01517     -0.01517
  2.12      0.00000      0.01544     -0.01540
  2.14      0.00000      0.01570     -0.01565
  2.16      0.00018      0.01597     -0.01586
  2.18      0.00009      0.01623     -0.01603
  2.20      0.00027      0.01650     -0.01621
  2.22      0.00045      0.01677     -0.01643
  2.24      0.00044      0.01703     -0.01654
  2.26      0.00044      0.01730     -0.01661
  2.28      0.00087      0.01756     -0.01670
