 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00000     -0.00000
  0.46      0.00000      0.00000     -0.00000
  0.48      0.00000      0.00000     -0.00000
  0.50      0.00000      0.00001     -0.00001
  0.52      0.00000      0.00001     -0.00001
  0.54      0.00000      0.00002     -0.00002
  0.56      0.00000      0.00003     -0.00003
  0.58      0.00000      0.00005     -0.00005
  0.60      0.00000      0.00008     -0.00008
  0.62      0.00000      0.00012     -0.00012
  0.64      0.00000      0.00018     -0.00018
  0.66      0.00000      0.00025     -0.00025
  0.68      0.00000      0.00033     -0.00033
  0.70      0.00000      0.00044     -0.00044
  0.72      0.00000      0.00056     -0.00056
  0.74      0.00000      0.00070     -0.00070
  0.76      0.00000      0.00085     -0.00085
  0.78      0.00000      0.00101     -0.00101
  0.80      0.00000      0.00118     -0.00118
  0.82      0.00000      0.00136     -0.00136
  0.84      0.00000      0.00155     -0.00155
  0.86      0.00000      0.00174     -0.00174
  0.88      0.00000      0.00194     -0.00194
  0.90      0.00000      0.00213     -0.00213
  0.92      0.00000      0.00233     -0.00233
  0.94      0.00000      0.00253     -0.00253
  0.96      0.00000      0.00273     -0.00273
  0.98      0.00000      0.00293     -0.00293
  1.00      0.00000      0.00313     -0.00313
  1.02      0.00000      0.00333     -0.00333
  1.04      0.00000      0.00353     -0.00353
  1.06      0.00000      0.00373     -0.00373
  1.08      0.00000      0.00393     -0.00393
  1.10      0.00000      0.00413     -0.00413
  1.12      0.00000      0.00433     -0.00433
  1.14      0.00000      0.00453     -0.00453
  1.16      0.00000      0.00474     -0.00474
  1.18      0.00000      0.00494     -0.00494
  1.20      0.00000      0.00514     -0.00514
  1.22      0.00000      0.00534     -0.00534
  1.24      0.00000      0.00554     -0.00554
  1.26      0.00000      0.00574     -0.00574
  1.28      0.00000      0.00594     -0.00594
  1.30      0.00000      0.00615     -0.00615
  1.32      0.00000      0.00635     -0.00635
  1.34      0.00000      0.00655     -0.00655
  1.36      0.00000      0.00675     -0.00675
  1.38      0.00000      0.00695     -0.00695
  1.40      0.00000      0.00715     -0.00715
  1.42      0.00000      0.00736     -0.00736
  1.44      0.00000      0.00756     -0.00756
  1.46      0.00000      0.00776     -0.00776
  1.48      0.00000      0.00796     -0.00796
  1.50      0.00000      0.00816     -0.00816
  1.52      0.00000      0.00837     -0.00837
  1.54      0.00000      0.00857     -0.00857
  1.56      0.00000      0.00877     -0.00877
  1.58      0.00000      0.00897     -0.00897
  1.60      0.00000      0.00918     -0.00918
  1.62      0.00000      0.00938     -0.00938
  1.64      0.00000      0.00959     -0.00959
  1.66      0.00000      0.00980     -0.00980
  1.68      0.00000      0.01001     -0.01001
  1.70      0.00000      0.01022     -0.01022
  1.72      0.00000      0.01044     -0.01044
  1.74      0.00000      0.01066     -0.01066
  1.76      0.00000      0.01088     -0.01088
  1.78      0.00000      0.01111     -0.01111
  1.80      0.00000      0.01134     -0.01134
  1.82      0.00000      0.01158     -0.01158
  1.84      0.00000      0.01182     -0.01182
  1.86      0.00000      0.01206     -0.01206
  1.88      0.00000      0.01232     -0.01232
  1.90      0.00000      0.01257     -0.01257
  1.92      0.00000      0.01283     -0.01283
  1.94      0.00000      0.01309     -0.01309
  1.96      0.00000      0.01335     -0.01335
  1.98      0.00000      0.01362     -0.01362
  2.00      0.00000      0.01388     -0.01388
  2.02      0.00000      0.01415     -0.01415
  2.04      0.00000      0.01442     -0.01442
  2.06      0.00000      0.01469     -0.01469
  2.08      0.00000      0.01496     -0.01496
  2.10      0.00000      0.01523     -0.01523
  2.12      0.00000      0.01550     -0.01550
  2.14      0.00000      0.01577     -0.01577
  2.16      0.00000      0.01604     -0.01604
  2.18      0.00000      0.01631     -0.01631
  2.20      0.00000      0.01658     -0.01658
  2.22      0.00000      0.01686     -0.01686
  2.24      0.00000      0.01713     -0.01713
  2.26      0.00000      0.01740     -0.01740
  2.28      0.00000      0.01767     -0.01767
  2.30      0.00000      0.01794     -0.01791
