 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000      0.00000
  0.46      0.00000      0.00000     -0.00000
  0.48      0.00000      0.00000     -0.00000
  0.50      0.00000      0.00000     -0.00000
  0.52      0.00000      0.00000     -0.00000
  0.54      0.00000      0.00000     -0.00000
  0.56      0.00000      0.00001     -0.00001
  0.58      0.00000      0.00001     -0.00001
  0.60      0.00000      0.00003     -0.00003
  0.62      0.00000      0.00005     -0.00005
  0.64      0.00000      0.00008     -0.00008
  0.66      0.00000      0.00013     -0.00013
  0.68      0.00000      0.00020     -0.00020
  0.70      0.00000      0.00029     -0.00029
  0.72      0.00000      0.00041     -0.00041
  0.74      0.00000      0.00054     -0.00054
  0.76      0.00000      0.00069     -0.00069
  0.78      0.00000      0.00085     -0.00085
  0.80      0.00000      0.00103     -0.00103
  0.82      0.00000      0.00121     -0.00121
  0.84      0.00000      0.00140     -0.00140
  0.86      0.00000      0.00159     -0.00159
  0.88      0.00000      0.00179     -0.00179
  0.90      0.00000      0.00199     -0.00199
  0.92      0.00000      0.00219     -0.00219
  0.94      0.00000      0.00239     -0.00239
  0.96      0.00000      0.00260     -0.00260
  0.98      0.00000      0.00280     -0.00280
  1.00      0.00000      0.00300     -0.00300
  1.02      0.00000      0.00320     -0.00320
  1.04      0.00000      0.00340     -0.00340
  1.06      0.00000      0.00361     -0.00361
  1.08      0.00000      0.00381     -0.00381
  1.10      0.00000      0.00401     -0.00401
  1.12      0.00000      0.00421     -0.00421
  1.14      0.00000      0.00442     -0.00442
  1.16      0.00000      0.00462     -0.00462
  1.18      0.00000      0.00482     -0.00482
  1.20      0.00000      0.00502     -0.00502
  1.22      0.00000      0.00523     -0.00523
  1.24      0.00000      0.00543     -0.00543
  1.26      0.00000      0.00563     -0.00563
  1.28      0.00000      0.00583     -0.00583
  1.30      0.00000      0.00603     -0.00603
  1.32      0.00000      0.00624     -0.00624
  1.34      0.00000      0.00644     -0.00644
  1.36      0.00000      0.00664     -0.00664
  1.38      0.00000      0.00684     -0.00684
  1.40      0.00000      0.00705     -0.00705
  1.42      0.00000      0.00725     -0.00725
  1.44      0.00000      0.00745     -0.00745
  1.46      0.00000      0.00766     -0.00766
  1.48      0.00000      0.00786     -0.00786
  1.50      0.00000      0.00806     -0.00806
  1.52      0.00000      0.00826     -0.00826
  1.54      0.00000      0.00847     -0.00847
  1.56      0.00000      0.00867     -0.00867
  1.58      0.00000      0.00887     -0.00887
  1.60      0.00000      0.00908     -0.00908
  1.62      0.00000      0.00928     -0.00928
  1.64      0.00000      0.00949     -0.00949
  1.66      0.00000      0.00970     -0.00970
  1.68      0.00000      0.00991     -0.00991
  1.70      0.00000      0.01012     -0.01012
  1.72      0.00000      0.01034     -0.01034
  1.74      0.00000      0.01056     -0.01056
  1.76      0.00000      0.01078     -0.01078
  1.78      0.00000      0.01101     -0.01101
  1.80      0.00000      0.01124     -0.01124
  1.82      0.00000      0.01148     -0.01148
  1.84      0.00000      0.01172     -0.01172
  1.86      0.00000      0.01196     -0.01196
  1.88      0.00000      0.01221     -0.01221
  1.90      0.00000      0.01247     -0.01247
  1.92      0.00000      0.01273     -0.01273
  1.94      0.00000      0.01299     -0.01299
  1.96      0.00000      0.01325     -0.01325
  1.98      0.00000      0.01352     -0.01352
  2.00      0.00000      0.01379     -0.01379
  2.02      0.00000      0.01406     -0.01406
  2.04      0.00000      0.01433     -0.01433
  2.06      0.00000      0.01460     -0.01460
  2.08      0.00000      0.01487     -0.01487
  2.10      0.00000      0.01514     -0.01514
  2.12      0.00000      0.01541     -0.01541
  2.14      0.00000      0.01569     -0.01569
  2.16      0.00000      0.01596     -0.01596
  2.18      0.00000      0.01623     -0.01623
  2.20      0.00000      0.01650     -0.01650
  2.22      0.00000      0.01678     -0.01678
  2.24      0.00000      0.01705     -0.01705
  2.26      0.00000      0.01732     -0.01732
  2.28      0.00000      0.01760     -0.01760
  2.30      0.00000      0.01787     -0.01787
