 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00001
  0.36     -0.00001
  0.38     -0.00002
  0.40     -0.00003
  0.42     -0.00005
  0.44     -0.00007
  0.46     -0.00010
  0.48     -0.00013
  0.50     -0.00018
  0.52     -0.00023
  0.54     -0.00029
  0.56     -0.00036
  0.58     -0.00045
  0.60     -0.00055
  0.62     -0.00068
  0.64     -0.00082
  0.66     -0.00100
  0.68     -0.00121
  0.70     -0.00144
  0.72     -0.00170
  0.74     -0.00199
  0.76     -0.00230
  0.78     -0.00263
  0.80     -0.00297
  0.82     -0.00333
  0.84     -0.00369
  0.86     -0.00407
  0.88     -0.00445
  0.90     -0.00483
  0.92     -0.00522
  0.94     -0.00561
  0.96     -0.00600
  0.98     -0.00639
  1.00     -0.00679
  1.02     -0.00718
  1.04     -0.00757
  1.06     -0.00797
  1.08     -0.00836
  1.10     -0.00876
  1.12     -0.00916
  1.14     -0.00955
  1.16     -0.00995
  1.18     -0.01034
  1.20     -0.01074
  1.22     -0.01114
  1.24     -0.01154
  1.26     -0.01193
  1.28     -0.01233
  1.30     -0.01273
  1.32     -0.01313
  1.34     -0.01353
  1.36     -0.01393
  1.38     -0.01433
  1.40     -0.01474
  1.42     -0.01514
  1.44     -0.01555
  1.46     -0.01596
  1.48     -0.01637
  1.50     -0.01678
  1.52     -0.01720
  1.54     -0.01761
  1.56     -0.01804
  1.58     -0.01846
  1.60     -0.01889
  1.62     -0.01932
  1.64     -0.01976
  1.66     -0.02019
  1.68     -0.02063
  1.70     -0.02108
  1.72     -0.02153
  1.74     -0.02198
  1.76     -0.02244
  1.78     -0.02290
  1.80     -0.02337
  1.82     -0.02384
  1.84     -0.02432
  1.86     -0.02480
  1.88     -0.02528
  1.90     -0.02577
  1.92     -0.02627
  1.94     -0.02677
  1.96     -0.02727
  1.98     -0.02777
  2.00     -0.02828
  2.02     -0.02879
  2.04     -0.02930
  2.06     -0.02982
  2.08     -0.03033
  2.10     -0.03085
  2.12     -0.03137
  2.14     -0.03189
  2.16     -0.03242
  2.18     -0.03287
  2.20     -0.03336
  2.22     -0.03356
  2.24     -0.03373
  2.26     -0.03292
  2.28     -0.03217
  2.30     -0.02975
  2.32     -0.02699
  2.34     -0.02132
  2.36     -0.01608
  2.38     -0.00866
  2.40     -0.00039
  2.42      0.00733
  2.44      0.01515
