 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00002
  0.30     -0.00003
  0.32     -0.00004
  0.34     -0.00006
  0.36     -0.00008
  0.38     -0.00010
  0.40     -0.00013
  0.42     -0.00016
  0.44     -0.00019
  0.46     -0.00022
  0.48     -0.00026
  0.50     -0.00030
  0.52     -0.00035
  0.54     -0.00040
  0.56     -0.00045
  0.58     -0.00051
  0.60     -0.00058
  0.62     -0.00066
  0.64     -0.00076
  0.66     -0.00089
  0.68     -0.00106
  0.70     -0.00128
  0.72     -0.00155
  0.74     -0.00187
  0.76     -0.00225
  0.78     -0.00267
  0.80     -0.00312
  0.82     -0.00359
  0.84     -0.00408
  0.86     -0.00457
  0.88     -0.00507
  0.90     -0.00557
  0.92     -0.00607
  0.94     -0.00658
  0.96     -0.00708
  0.98     -0.00759
  1.00     -0.00809
  1.02     -0.00860
  1.04     -0.00911
  1.06     -0.00962
  1.08     -0.01012
  1.10     -0.01063
  1.12     -0.01114
  1.14     -0.01165
  1.16     -0.01216
  1.18     -0.01267
  1.20     -0.01319
  1.22     -0.01370
  1.24     -0.01421
  1.26     -0.01472
  1.28     -0.01523
  1.30     -0.01575
  1.32     -0.01626
  1.34     -0.01678
  1.36     -0.01729
  1.38     -0.01781
  1.40     -0.01832
  1.42     -0.01884
  1.44     -0.01935
  1.46     -0.01987
  1.48     -0.02039
  1.50     -0.02091
  1.52     -0.02143
  1.54     -0.02195
  1.56     -0.02247
  1.58     -0.02299
  1.60     -0.02351
  1.62     -0.02404
  1.64     -0.02456
  1.66     -0.02509
  1.68     -0.02562
  1.70     -0.02615
  1.72     -0.02669
  1.74     -0.02723
  1.76     -0.02778
  1.78     -0.02833
  1.80     -0.02890
  1.82     -0.02947
  1.84     -0.03006
  1.86     -0.03066
  1.88     -0.03128
  1.90     -0.03191
  1.92     -0.03255
  1.94     -0.03321
  1.96     -0.03387
  1.98     -0.03454
  2.00     -0.03522
  2.02     -0.03590
  2.04     -0.03658
  2.06     -0.03721
  2.08     -0.03790
  2.10     -0.03819
  2.12     -0.03863
  2.14     -0.03817
  2.16     -0.03782
  2.18     -0.03687
  2.20     -0.03551
  2.22     -0.03238
  2.24     -0.03012
  2.26     -0.02648
  2.28     -0.02384
  2.30     -0.02031
  2.32     -0.01841
  2.34     -0.01636
  2.36     -0.01637
  2.38     -0.01506
  2.40     -0.01678
  2.42     -0.01686
