 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00001
  0.32     -0.00001
  0.34     -0.00001
  0.36     -0.00002
  0.38     -0.00002
  0.40     -0.00003
  0.42     -0.00004
  0.44     -0.00005
  0.46     -0.00006
  0.48     -0.00008
  0.50     -0.00009
  0.52     -0.00011
  0.54     -0.00013
  0.56     -0.00016
  0.58     -0.00019
  0.60     -0.00022
  0.62     -0.00027
  0.64     -0.00034
  0.66     -0.00043
  0.68     -0.00055
  0.70     -0.00071
  0.72     -0.00092
  0.74     -0.00118
  0.76     -0.00148
  0.78     -0.00181
  0.80     -0.00219
  0.82     -0.00259
  0.84     -0.00301
  0.86     -0.00345
  0.88     -0.00389
  0.90     -0.00434
  0.92     -0.00479
  0.94     -0.00525
  0.96     -0.00570
  0.98     -0.00616
  1.00     -0.00661
  1.02     -0.00707
  1.04     -0.00753
  1.06     -0.00798
  1.08     -0.00844
  1.10     -0.00890
  1.12     -0.00936
  1.14     -0.00982
  1.16     -0.01027
  1.18     -0.01073
  1.20     -0.01119
  1.22     -0.01165
  1.24     -0.01211
  1.26     -0.01257
  1.28     -0.01303
  1.30     -0.01349
  1.32     -0.01395
  1.34     -0.01441
  1.36     -0.01487
  1.38     -0.01534
  1.40     -0.01580
  1.42     -0.01626
  1.44     -0.01672
  1.46     -0.01719
  1.48     -0.01765
  1.50     -0.01811
  1.52     -0.01858
  1.54     -0.01904
  1.56     -0.01950
  1.58     -0.01997
  1.60     -0.02043
  1.62     -0.02090
  1.64     -0.02137
  1.66     -0.02183
  1.68     -0.02230
  1.70     -0.02278
  1.72     -0.02325
  1.74     -0.02373
  1.76     -0.02421
  1.78     -0.02470
  1.80     -0.02520
  1.82     -0.02570
  1.84     -0.02621
  1.86     -0.02674
  1.88     -0.02728
  1.90     -0.02782
  1.92     -0.02838
  1.94     -0.02895
  1.96     -0.02953
  1.98     -0.03012
  2.00     -0.03071
  2.02     -0.03131
  2.04     -0.03191
  2.06     -0.03252
  2.08     -0.03312
  2.10     -0.03373
  2.12     -0.03417
  2.14     -0.03471
  2.16     -0.03515
  2.18     -0.03543
  2.20     -0.03549
  2.22     -0.03544
  2.24     -0.03508
  2.26     -0.03430
  2.28     -0.03410
  2.30     -0.03324
  2.32     -0.03270
  2.34     -0.03193
  2.36     -0.03116
  2.38     -0.03022
  2.40     -0.02977
  2.42     -0.02843
