 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00001
  0.22     -0.00002
  0.24     -0.00003
  0.26     -0.00006
  0.28     -0.00009
  0.30     -0.00013
  0.32     -0.00018
  0.34     -0.00025
  0.36     -0.00035
  0.38     -0.00046
  0.40     -0.00061
  0.42     -0.00078
  0.44     -0.00099
  0.46     -0.00122
  0.48     -0.00149
  0.50     -0.00178
  0.52     -0.00208
  0.54     -0.00241
  0.56     -0.00275
  0.58     -0.00310
  0.60     -0.00346
  0.62     -0.00382
  0.64     -0.00419
  0.66     -0.00456
  0.68     -0.00493
  0.70     -0.00531
  0.72     -0.00569
  0.74     -0.00607
  0.76     -0.00645
  0.78     -0.00683
  0.80     -0.00721
  0.82     -0.00759
  0.84     -0.00798
  0.86     -0.00836
  0.88     -0.00875
  0.90     -0.00914
  0.92     -0.00952
  0.94     -0.00991
  0.96     -0.01030
  0.98     -0.01069
  1.00     -0.01108
  1.02     -0.01147
  1.04     -0.01186
  1.06     -0.01226
  1.08     -0.01265
  1.10     -0.01305
  1.12     -0.01344
  1.14     -0.01384
  1.16     -0.01423
  1.18     -0.01463
  1.20     -0.01503
  1.22     -0.01543
  1.24     -0.01583
  1.26     -0.01624
  1.28     -0.01664
  1.30     -0.01705
  1.32     -0.01746
  1.34     -0.01787
  1.36     -0.01829
  1.38     -0.01871
  1.40     -0.01914
  1.42     -0.01957
  1.44     -0.02001
  1.46     -0.02046
  1.48     -0.02091
  1.50     -0.02138
  1.52     -0.02185
  1.54     -0.02233
  1.56     -0.02282
  1.58     -0.02331
  1.60     -0.02380
  1.62     -0.02431
  1.64     -0.02481
  1.66     -0.02532
  1.68     -0.02583
  1.70     -0.02635
  1.72     -0.02686
  1.74     -0.02738
  1.76     -0.02790
  1.78     -0.02842
  1.80     -0.02895
  1.82     -0.02947
  1.84     -0.03000
  1.86     -0.03053
  1.88     -0.03106
  1.90     -0.03160
  1.92     -0.03214
  1.94     -0.03268
  1.96     -0.03323
  1.98     -0.03377
  2.00     -0.03433
  2.02     -0.03488
  2.04     -0.03545
  2.06     -0.03601
  2.08     -0.03645
  2.10     -0.03632
  2.12     -0.03495
  2.14     -0.03249
  2.16     -0.02801
  2.18     -0.02182
  2.20     -0.01114
  2.22      0.00152
  2.24      0.01692
  2.26      0.03195
  2.28      0.04885
  2.30      0.07146
  2.32      0.09745
  2.34      0.12626
  2.36      0.16449
  2.38      0.19841
  2.40      0.22740
  2.42      0.24905
  2.44      0.25501
