 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00001
  0.36     -0.00001
  0.38     -0.00002
  0.40     -0.00004
  0.42     -0.00006
  0.44     -0.00009
  0.46     -0.00013
  0.48     -0.00018
  0.50     -0.00024
  0.52     -0.00031
  0.54     -0.00040
  0.56     -0.00050
  0.58     -0.00062
  0.60     -0.00076
  0.62     -0.00092
  0.64     -0.00110
  0.66     -0.00131
  0.68     -0.00154
  0.70     -0.00179
  0.72     -0.00206
  0.74     -0.00234
  0.76     -0.00265
  0.78     -0.00296
  0.80     -0.00329
  0.82     -0.00363
  0.84     -0.00398
  0.86     -0.00433
  0.88     -0.00469
  0.90     -0.00506
  0.92     -0.00542
  0.94     -0.00579
  0.96     -0.00617
  0.98     -0.00654
  1.00     -0.00692
  1.02     -0.00730
  1.04     -0.00767
  1.06     -0.00805
  1.08     -0.00843
  1.10     -0.00881
  1.12     -0.00919
  1.14     -0.00957
  1.16     -0.00995
  1.18     -0.01033
  1.20     -0.01071
  1.22     -0.01110
  1.24     -0.01148
  1.26     -0.01186
  1.28     -0.01225
  1.30     -0.01263
  1.32     -0.01302
  1.34     -0.01340
  1.36     -0.01379
  1.38     -0.01418
  1.40     -0.01457
  1.42     -0.01496
  1.44     -0.01536
  1.46     -0.01575
  1.48     -0.01615
  1.50     -0.01655
  1.52     -0.01695
  1.54     -0.01736
  1.56     -0.01776
  1.58     -0.01818
  1.60     -0.01859
  1.62     -0.01901
  1.64     -0.01943
  1.66     -0.01986
  1.68     -0.02029
  1.70     -0.02072
  1.72     -0.02116
  1.74     -0.02160
  1.76     -0.02205
  1.78     -0.02249
  1.80     -0.02295
  1.82     -0.02340
  1.84     -0.02386
  1.86     -0.02432
  1.88     -0.02479
  1.90     -0.02525
  1.92     -0.02572
  1.94     -0.02620
  1.96     -0.02667
  1.98     -0.02715
  2.00     -0.02763
  2.02     -0.02812
  2.04     -0.02861
  2.06     -0.02910
  2.08     -0.02959
  2.10     -0.03008
  2.12     -0.03058
  2.14     -0.03103
  2.16     -0.03153
  2.18     -0.03204
  2.20     -0.03250
  2.22     -0.03269
  2.24     -0.03257
  2.26     -0.03173
  2.28     -0.03068
  2.30     -0.02814
  2.32     -0.02435
  2.34     -0.01801
  2.36     -0.00839
  2.38      0.00222
  2.40      0.01432
  2.42      0.02921
  2.44      0.04060
