 #r(A)        G(r)
  0.02     -0.00000
  0.04     -0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00001
  0.30     -0.00002
  0.32     -0.00003
  0.34     -0.00004
  0.36     -0.00005
  0.38     -0.00006
  0.40     -0.00008
  0.42     -0.00011
  0.44     -0.00013
  0.46     -0.00017
  0.48     -0.00021
  0.50     -0.00026
  0.52     -0.00032
  0.54     -0.00039
  0.56     -0.00048
  0.58     -0.00059
  0.60     -0.00072
  0.62     -0.00088
  0.64     -0.00108
  0.66     -0.00132
  0.68     -0.00160
  0.70     -0.00192
  0.72     -0.00228
  0.74     -0.00266
  0.76     -0.00306
  0.78     -0.00348
  0.80     -0.00391
  0.82     -0.00436
  0.84     -0.00481
  0.86     -0.00527
  0.88     -0.00574
  0.90     -0.00621
  0.92     -0.00668
  0.94     -0.00715
  0.96     -0.00763
  0.98     -0.00810
  1.00     -0.00858
  1.02     -0.00906
  1.04     -0.00954
  1.06     -0.01002
  1.08     -0.01050
  1.10     -0.01099
  1.12     -0.01147
  1.14     -0.01195
  1.16     -0.01243
  1.18     -0.01292
  1.20     -0.01340
  1.22     -0.01388
  1.24     -0.01437
  1.26     -0.01485
  1.28     -0.01534
  1.30     -0.01582
  1.32     -0.01631
  1.34     -0.01680
  1.36     -0.01729
  1.38     -0.01777
  1.40     -0.01826
  1.42     -0.01875
  1.44     -0.01925
  1.46     -0.01974
  1.48     -0.02023
  1.50     -0.02073
  1.52     -0.02123
  1.54     -0.02173
  1.56     -0.02223
  1.58     -0.02274
  1.60     -0.02326
  1.62     -0.02377
  1.64     -0.02429
  1.66     -0.02482
  1.68     -0.02535
  1.70     -0.02589
  1.72     -0.02644
  1.74     -0.02699
  1.76     -0.02755
  1.78     -0.02812
  1.80     -0.02870
  1.82     -0.02928
  1.84     -0.02987
  1.86     -0.03047
  1.88     -0.03107
  1.90     -0.03168
  1.92     -0.03230
  1.94     -0.03271
  1.96     -0.03333
  1.98     -0.03396
  2.00     -0.03459
  2.02     -0.03522
  2.04     -0.03586
  2.06     -0.03650
  2.08     -0.03714
  2.10     -0.03752
  2.12     -0.03816
  2.14     -0.03819
  2.16     -0.03826
  2.18     -0.03822
  2.20     -0.03757
  2.22     -0.03562
  2.24     -0.03475
  2.26     -0.03369
  2.28     -0.03220
  2.30     -0.02965
  2.32     -0.02759
  2.34     -0.02455
  2.36     -0.01973
  2.38     -0.01433
  2.40     -0.00913
  2.42     -0.00113
